City,Region,Country,Source,Code,Latitude,Longitude,Time_Zone,Elevation,URL
GARISSA,-,KEN,SWERA,637230,-0.47,39.63,3.0,147.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Garissa.637230_SWERA/KEN_Garissa.637230_SWERA.epw
KAKAMEGA,-,KEN,SWERA,636870,0.28,34.78,3.0,1530.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Kakamega.636870_SWERA/KEN_Kakamega.636870_SWERA.epw
KISII            _,-,KEN,SWERA,637090,-0.67,34.78,3.0,1493.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Kisii.637090_SWERA/KEN_Kisii.637090_SWERA.epw
KISUMU,-,KEN,SWERA,637080,-0.10,34.75,3.0,1146.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Kisumu.637080_SWERA/KEN_Kisumu.637080_SWERA.epw
Kitale,-,KEN,SWERA/EnergyPlu,636610,1.02,35.00,3.0,1875.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Kitale.636610_SWERA/KEN_Kitale.636610_SWERA.epw
LAMU/MANDA_ISLAND,-,KEN,SWERA,637720,-2.27,40.83,3.0,6.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Lamu-Manda.Island.637720_SWERA/KEN_Lamu-Manda.Island.637720_SWERA.epw
LODWAR,-,KEN,SWERA,636120,3.12,35.62,3.0,515.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Lodwar.636120_SWERA/KEN_Lodwar.636120_SWERA.epw
MAKINDU,-,KEN,SWERA,637660,-2.28,37.83,3.0,1000.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Makindu.637660_SWERA/KEN_Makindu.637660_SWERA.epw
MALINDI,-,KEN,SWERA,637990,-3.23,40.10,3.0,23.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Malindi.637990_SWERA/KEN_Malindi.637990_SWERA.epw
MANDERA,-,KEN,SWERA,636240,3.93,41.87,3.0,231.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Mandera.636240_SWERA/KEN_Mandera.636240_SWERA.epw
MARSABIT,-,KEN,SWERA,636410,2.30,37.90,3.0,1345.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Marsabit.636410_SWERA/KEN_Marsabit.636410_SWERA.epw
MERU,-,KEN,SWERA,636950,0.08,37.65,3.0,1554.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Meru.636950_SWERA/KEN_Meru.636950_SWERA.epw
MOMBASA/MOI_INTL,-,KEN,SWERA,638200,-4.03,39.62,3.0,55.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Mombasa-Moi.638200_SWERA/KEN_Mombasa-Moi.638200_SWERA.epw
MOYALE_LOWER_(ODA),-,KEN,SWERA,636190,3.53,39.05,3.0,1097.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Moyale.636190_SWERA/KEN_Moyale.636190_SWERA.epw
NAIROBI/DAGORETTI_,-,KEN,SWERA,637400,-1.30,36.75,3.0,1798.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Nairobi-Dagoretti.637410_SWERA/KEN_Nairobi-Dagoretti.637410_SWERA.epw
NAIROBI/JOMO_KENYAT,-,KEN,SWERA,637400,-1.32,36.92,3.0,1624.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Nairobi-Kenyatta.637400_SWERA/KEN_Nairobi-Kenyatta.637400_SWERA.epw
NAIROBI/WILSON,-,KEN,SWERA,637400,-1.32,36.82,3.0,1679.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Nairobi-Wilson.637420_SWERA/KEN_Nairobi-Wilson.637420_SWERA.epw
NAIROBI,-,KEN,IWEC Data,637400,-1.32,36.92,3.0,1624.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Nairobi.637400_IWEC/KEN_Nairobi.637400_IWEC.epw
NAKURU,-,KEN,SWERA,637140,-0.27,36.10,3.0,1901.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Nakuru.637140_SWERA/KEN_Nakuru.637140_SWERA.epw
NAROK,-,KEN,SWERA,637370,-1.13,35.83,3.0,1890.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Narok.637370_SWERA/KEN_Narok.637370_SWERA.epw
NYERI,-,KEN,SWERA,637170,-0.50,36.97,3.0,1759.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Nyeri.637170_SWERA/KEN_Nyeri.637170_SWERA.epw
VOI,-,KEN,SWERA,637930,-3.40,38.57,3.0,579.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/KEN/KEN_Voi.637930_SWERA/KEN_Voi.637930_SWERA.epw
TRIPOLI,-,LBY,IWEC Data,620100,32.67,13.15,2.0,81.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/LBY/LBY_Tripoli.620100_IWEC/LBY_Tripoli.620100_IWEC.epw
TRIPOLI,-,LBY,IWEC Data,620100,32.67,13.15,2.0,81.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/LBY/LBY_Tripoli.620100_IWEC/LBY_Tripoli.620100_IWEC.epw
CASABLANCA/NOUASSER,-,MAR,IWEC Data,601560,33.37,-7.58,0.0,206.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/MAR/MAR_Casablanca.Nouasser.601560_IWEC/MAR_Casablanca.Nouasser.601560_IWEC.epw
CASABLANCA/NOUASSER,-,MAR,IWEC Data,601560,33.37,-7.58,0.0,206.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/MAR/MAR_Casablanca.Nouasser.601560_IWEC/MAR_Casablanca.Nouasser.601560_IWEC.epw
ANTANANARIVO,-,MDG,IWEC Data,670830,-18.80,47.48,3.0,1276.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/MDG/MDG_Antananarivo.670830_IWEC/MDG_Antananarivo.670830_IWEC.epw
ANTANANARIVO,-,MDG,IWEC Data,670830,-18.80,47.48,3.0,1276.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/MDG/MDG_Antananarivo.670830_IWEC/MDG_Antananarivo.670830_IWEC.epw
DAKAR,-,SEN,IWEC Data,616410,14.73,-17.50,0.0,24.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/SEN/SEN_Dakar.616410_IWEC/SEN_Dakar.616410_IWEC.epw
DAKAR,-,SEN,IWEC Data,616410,14.73,-17.50,0.0,24.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/SEN/SEN_Dakar.616410_IWEC/SEN_Dakar.616410_IWEC.epw
TUNIS,-,TUN,IWEC Data,607150,36.83,10.23,1.0,4.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/TUN/TUN_Tunis.607150_IWEC/TUN_Tunis.607150_IWEC.epw
TUNIS,-,TUN,IWEC Data,607150,36.83,10.23,1.0,4.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/TUN/TUN_Tunis.607150_IWEC/TUN_Tunis.607150_IWEC.epw
CAPE TOWN,-,ZAF,IWEC Data,688160,-33.98,18.60,2.0,42.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ZAF/ZAF_Cape.Town.688160_IWEC/ZAF_Cape.Town.688160_IWEC.epw
JOHANNESBURG,-,ZAF,IWEC Data,683680,-26.13,28.23,2.0,1700.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ZAF/ZAF_Johannesburg.683680_IWEC/ZAF_Johannesburg.683680_IWEC.epw
CAPE TOWN,-,ZAF,IWEC Data,688160,-33.98,18.60,2.0,42.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ZAF/ZAF_Cape.Town.688160_IWEC/ZAF_Cape.Town.688160_IWEC.epw
JOHANNESBURG,-,ZAF,IWEC Data,683680,-26.13,28.23,2.0,1700.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ZAF/ZAF_Johannesburg.683680_IWEC/ZAF_Johannesburg.683680_IWEC.epw
HARARE,-,ZWE,IWEC Data,677750,-17.92,31.13,2.0,1503.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ZWE/ZWE_Harare.677750_IWEC/ZWE_Harare.677750_IWEC.epw
HARARE,-,ZWE,IWEC Data,677750,-17.92,31.13,2.0,1503.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/ZWE/ZWE_Harare.677750_IWEC/ZWE_Harare.677750_IWEC.epw
ABU DHABI,-,ARE,IWEC Data,412170,24.43,54.65,4.0,27.0',https://energyplus-weather.s3.amazonaws.com/asia_wmo_region_2/ARE/ARE_Abu.Dhabi.412170_IWEC/ARE_Abu.Dhabi.412170_IWEC.epw
ABU DHABI,-,ARE,IWEC Data,412170,24.43,54.65,4.0,27.0',https://energyplus-weather.s3.amazonaws.com/asia_wmo_region_2/ARE/ARE_Abu.Dhabi.412170_IWEC/ARE_Abu.Dhabi.412170_IWEC.epw
BOGRA,-,BGD,SWERA,418830,24.85,89.37,6.0,20.0',https://energyplus-weather.s3.amazonaws.com/asia_wmo_region_2/BGD/BGD_Bogra.418830_SWERA/BGD_Bogra.418830_SWERA.epw
Chittagong/Patenga (CI,-,BGD,SWERA,419780,22.27,91.82,6.0,6.0',https://energyplus-weather.s3.amazonaws.com/asia_wmo_region_2/BGD/BGD_Chittagong-Patenga.419780_SWERA/BGD_Chittagong-Patenga.419780_SWERA.epw
COX'S_BAZAR,-,BGD,SWERA,419920,21.43,91.97,6.0,4.0",https://energyplus-weather.s3.amazonaws.com/asia_wmo_region_2/BGD/BGD_Coxs.Bazar.419920_SWERA/BGD_Coxs.Bazar.419920_SWERA.epw
DHAKA/TEJGAON_(MIL),-,BGD,SWERA,419230,23.77,90.38,6.0,9.0',https://energyplus-weather.s3.amazonaws.com/asia_wmo_region_2/BGD/BGD_Dhaka.419230_SWERA/BGD_Dhaka.419230_SWERA.epw
